erp_id,bank_ref,date,settlement_date,merchant_name,description,amount,tax_line_item,net_amount,fee_deducted,match_type,confidence_score,reasoning,source
ERP-0031,BNK-00031,2026-07-09,2026-07-09,Mango Tree Wellness,Mango Tree Wellness ERP-0031 SETTLEMENT,528.68,95.16,528.68,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0034,BNK-00034,2026-07-12,2026-07-12,Acme Retail India,Acme Retail India ERP-0034 SETTLEMENT,648.72,116.77,648.72,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0037,BNK-00037,2026-07-15,2026-07-15,Northstar Electronics,Northstar Electronics ERP-0037 SETTLEMENT,666.19,119.91,666.19,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0040,BNK-00040,2026-07-18,2026-07-18,Bluebird Education,Bluebird Education ERP-0040 SETTLEMENT,67.68,5.41,67.68,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0043,BNK-00043,2026-07-21,2026-07-21,Nimbus Cloud Services,Nimbus Cloud Services ERP-0043 SETTLEMENT,925.16,166.53,925.16,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0046,BNK-00046,2026-07-02,2026-07-02,Urban Mobility Labs,Urban Mobility Labs ERP-0046 SETTLEMENT,1038.14,186.87,1038.14,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0049,BNK-00049,2026-07-05,2026-07-05,Razorpay Software,Razorpay Software ERP-0049 SETTLEMENT,677.81,122.01,677.81,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0052,BNK-00052,2026-07-08,2026-07-08,Green Basket Foods,Green Basket Foods ERP-0052 SETTLEMENT,107.63,19.37,107.63,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0002,BNK-00002,2026-07-02,2026-07-03,Acme Retail India,ACME RETAIL SETTLEMENT,1165.41,209.77,1360.61,14.57,fuzzy_name_match,0.95,"Merchant names match, ERP total 1375.18 equals bank gross 1360.61+14.57, amounts align exactly.",llm
ERP-0003,BNK-00003,2026-07-03,2026-07-05,Nimbus Cloud Services,NIMBUS CLOUD / CARD PAYOUT,668.43,120.32,782.08,6.68,rounding_discrepancy,0.95,"Merchant names match and total amounts differ by ₹0.01, within rounding tolerance.",llm
ERP-0005,BNK-00005,2026-07-05,2026-07-06,Northstar Electronics,NORTHSTAR ELEC SETTLEMENT,195.73,15.66,208.94,2.45,fuzzy_name_match,0.95,Merchant name variation but ERP total matches bank net+fee exactly,llm
ERP-0006,BNK-00006,2026-07-06,2026-07-08,Urban Mobility Labs,URBAN MOBILITY / CARD PAYOUT,1024.17,184.35,1198.29,10.24,rounding_discrepancy,0.95,"ERP total 1208.52 matches bank net+fee 1208.53 within ₹0.01, merchant names align.",llm
ERP-0008,BNK-00008,2026-07-08,2026-07-09,Bluebird Education,BLUEBIRD EDU SETTLEMENT,91.35,16.44,106.65,1.14,fuzzy_name_match,0.95,"ERP total 107.79 equals bank net+fee, merchant names match.",llm
ERP-0009,BNK-00009,2026-07-09,2026-07-11,Razorpay Software,RZPAY PVT LTD / CARD PAYOUT,413.01,74.34,483.23,4.13,rounding_discrepancy,0.95,"Merchant names match and amounts differ by ₹0.01, within rounding tolerance.",llm
ERP-0011,BNK-00011,2026-07-11,2026-07-12,Nimbus Cloud Services,NIMBUS CLOUD SETTLEMENT,828.51,149.13,967.28,10.36,fuzzy_name_match,0.95,"Merchant names match, ERP total equals bank net plus fee, no rounding issue.",llm
ERP-0012,BNK-00012,2026-07-12,2026-07-14,Green Basket Foods,GREEN BASKET / CARD PAYOUT,701.84,126.33,821.16,7.02,rounding_discrepancy,0.95,"Merchant names match and totals differ by ₹0.01, within rounding tolerance, confirming ERP and bank rows correspond.",llm
ERP-0014,BNK-00014,2026-07-14,2026-07-15,Urban Mobility Labs,URBAN MOBILITY SETTLEMENT,371.34,66.84,433.54,4.64,exact,0.95,"ERP total 438.18 equals bank net+fee, merchant names match.",llm
ERP-0015,BNK-00015,2026-07-15,2026-07-17,Mango Tree Wellness,MANGO TREE WELLNESS / CARD PAYOUT,412.67,33.01,441.56,4.13,rounding_discrepancy,0.95,"ERP and bank amounts differ by 0.01 USD, merchant names match, tax and fee align, rounding discrepancy.",llm
ERP-0017,BNK-00017,2026-07-17,2026-07-18,Razorpay Software,RZPAY PVT LTD SETTLEMENT,522.49,94.05,610.01,6.53,fuzzy_name_match,0.95,"ERP total 616.54 equals bank net 610.01 plus fee 6.53, merchant names match via abbreviation.",llm
ERP-0018,BNK-00018,2026-07-18,2026-07-20,Acme Retail India,ACME RETAIL / CARD PAYOUT,1166.8,210.02,1365.16,11.67,rounding_discrepancy,0.95,"Merchant names match and amounts differ by ₹0.01 due to rounding, confirming ERP and bank rows correspond.",llm
ERP-0020,BNK-00020,2026-07-20,2026-07-21,Green Basket Foods,GREEN BASKET SETTLEMENT,1102.36,88.19,1176.77,13.78,exact,1.0,Merchant names match and ERP total equals bank net plus fee.,llm
ERP-0021,BNK-00021,2026-07-21,2026-07-23,Northstar Electronics,NORTHSTAR ELEC / CARD PAYOUT,36.63,6.59,42.86,0.37,rounding_discrepancy,0.95,"ERP total 43.22 matches bank total 43.23 within ₹1.00, merchant names align as Northstar Electronics vs NORTHSTAR ELEC.",llm
ERP-0023,BNK-00023,2026-07-01,2026-07-02,Mango Tree Wellness,MANGO TREE WELLNESS SETTLEMENT,880.41,158.47,1027.87,11.01,exact,1.0,Merchant names match and ERP total equals bank net plus fee.,llm
ERP-0024,BNK-00024,2026-07-02,2026-07-04,Bluebird Education,BLUEBIRD EDU / CARD PAYOUT,597.08,107.47,698.59,5.97,rounding_discrepancy,0.95,"Merchant names match, ERP total 704.55 vs bank total 704.56, 0.01 difference due to rounding.",llm
ERP-0026,BNK-00026,2026-07-04,2026-07-05,Acme Retail India,ACME RETAIL SETTLEMENT,427.06,76.87,498.59,5.34,exact,0.95,Merchant names match ignoring suffix; ERP total 503.93 equals bank net+fee 503.93.,llm
ERP-0027,BNK-00027,2026-07-05,2026-07-07,Nimbus Cloud Services,NIMBUS CLOUD / CARD PAYOUT,24.12,4.34,28.23,0.24,rounding_discrepancy,0.95,"ERP total 28.46 matches bank gross 28.47, name matches Nimbus Cloud, rounding difference 0.01.",llm
ERP-0029,BNK-00029,2026-07-07,2026-07-08,Northstar Electronics,NORTHSTAR ELEC SETTLEMENT,759.81,136.77,887.08,9.5,fuzzy_name_match,0.95,"ERP and bank amounts match exactly after fee, merchant names consistent",llm
ERP-0030,BNK-00030,2026-07-08,2026-07-10,Urban Mobility Labs,URBAN MOBILITY / CARD PAYOUT,259.02,20.72,277.16,2.59,rounding_discrepancy,0.95,"Merchant names match, total ERP 279.74 vs bank 279.75, difference 0.01, rounding discrepancy.",llm
ERP-0032,BNK-00032,2026-07-10,2026-07-11,Bluebird Education,BLUEBIRD EDU SETTLEMENT,669.27,120.47,781.37,8.37,fuzzy_name_match,0.95,"Merchant names match, ERP total equals bank net plus fee, amounts align exactly.",llm
ERP-0033,BNK-00033,2026-07-11,2026-07-13,Razorpay Software,RZPAY PVT LTD / CARD PAYOUT,199.15,35.85,233.02,1.99,rounding_discrepancy,0.9,"ERP and bank records refer to Razorpay, amounts differ by ₹0.01 after fee, indicating rounding discrepancy.",llm
ERP-0035,BNK-00035,2026-07-13,2026-07-14,Nimbus Cloud Services,NIMBUS CLOUD SETTLEMENT,714.14,57.13,762.34,8.93,fuzzy_name_match,0.95,"ERP total 771.27 equals bank net+fee 771.27, merchant names match with variation",llm
ERP-0036,BNK-00036,2026-07-14,2026-07-16,Green Basket Foods,GREEN BASKET / CARD PAYOUT,274.72,49.45,321.43,2.75,rounding_discrepancy,0.95,Merchant names match and total ERP 324.17 vs bank 324.18 within ₹1 rounding.,llm
ERP-0038,BNK-00038,2026-07-16,2026-07-17,Urban Mobility Labs,URBAN MOBILITY SETTLEMENT,617.84,111.21,721.33,7.72,fuzzy_name_match,0.95,"ERP total 729.05 matches bank net+fee, merchant names align despite variation.",llm
ERP-0039,BNK-00039,2026-07-17,2026-07-19,Mango Tree Wellness,MANGO TREE WELLNESS / CARD PAYOUT,564.33,101.58,660.28,5.64,rounding_discrepancy,0.95,Merchant names match and ERP total 665.91 vs bank net+fee 665.92 within ₹1.00 rounding.,llm
ERP-0041,BNK-00041,2026-07-19,2026-07-20,Razorpay Software,RZPAY PVT LTD SETTLEMENT,163.06,29.35,190.37,2.04,fuzzy_name_match,0.95,ERP and bank amounts match after adding fee; merchant names are variations of Razorpay.,llm
ERP-0042,BNK-00042,2026-07-20,2026-07-22,Acme Retail India,ACME RETAIL / CARD PAYOUT,798.55,143.74,934.31,7.99,rounding_discrepancy,0.95,"Merchant names match, totals differ by ₹0.01 due to rounding.",llm
ERP-0044,BNK-00044,2026-07-22,2026-07-23,Green Basket Foods,GREEN BASKET SETTLEMENT,320.15,57.63,373.78,4.0,exact,0.95,"ERP total 377.78 equals bank net+fee, merchant names match.",llm
ERP-0045,BNK-00045,2026-07-01,2026-07-03,Northstar Electronics,NORTHSTAR ELEC / CARD PAYOUT,1153.94,92.32,1234.73,11.54,fuzzy_name_match,0.95,"Merchant name variation, ERP total minus fee equals bank net, amounts align.",llm
ERP-0047,BNK-00047,2026-07-03,2026-07-04,Mango Tree Wellness,MANGO TREE WELLNESS SETTLEMENT,874.82,157.47,1021.35,10.94,fuzzy_name_match,0.95,"Merchant names match with settlement suffix; ERP total equals bank net plus fee, confirming a match.",llm
ERP-0048,BNK-00048,2026-07-04,2026-07-06,Bluebird Education,BLUEBIRD EDU / CARD PAYOUT,966.77,174.02,1131.13,9.67,rounding_discrepancy,0.95,"ERP total 1140.79 matches bank net+fee 1140.80 within ₹1.00, merchant names align.",llm
ERP-0050,BNK-00050,2026-07-06,2026-07-07,Acme Retail India,ACME RETAIL SETTLEMENT,170.16,13.61,181.64,2.13,exact,0.95,"ERP total 183.77 equals bank net+fee 183.77, merchant names align.",llm
ERP-0051,BNK-00051,2026-07-07,2026-07-09,Nimbus Cloud Services,NIMBUS CLOUD / CARD PAYOUT,96.34,17.34,112.73,0.96,rounding_discrepancy,0.95,"Merchant names match, amounts differ by ₹0.01, within rounding tolerance.",llm
